"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"SUPERSPIN","Super Spinning Mills Limited","Financial Results/Other business matters","SUPERSPIN : 13-Feb-2024 :  The Company has informed the Exchange that a Board meeting to be held on February 12, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on February 13, 2024, To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"SURAJEST","Suraj Estate Developers Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"SUVIDHAA","Suvidhaa Infoserve Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"TARC","TARC Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"TCIEXP","TCI Express Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"TEMBO","Tembo Global Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"TI","Tilaknagar Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"TIMETECHNO","Time Technoplast Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"TNTELE","Tamilnadu Telecommunication Limited","Financial Results","To consider and approve the un-audited financial results for the period ended December 31, 2023","12-Feb-2024"
"TREJHARA","TREJHARA SOLUTIONS LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"TRF","TRF Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"TVVISION","TV Vision Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"UJAAS","Ujaas Energy Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"UNITECH","Unitech Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
